snippet_key,category_id,tag_ids,notes
512,CAT_002,TERM_034|TERM_042|TERM_055|TERM_040,"Primary subject is the meaning of Jaya as the victory of Dharma"
513,CAT_010,TERM_074|TERM_038|TERM_063|TERM_034,"Primary subject is Naimisaranya as a sacred tirtha where Mahabharata was narrated"
514,CAT_013,TERM_034|TERM_030|TERM_019|TERM_042,"Primary subject is the suta storytelling profession and oral tradition"
515,CAT_002,TERM_041|TERM_034|TERM_052|TERM_011,"Primary subject is the Critical Edition process and the Bhandarkar Institute project"
516,CAT_013,TERM_011|TERM_042|TERM_019,"Primary subject is the value of faithful texts over interpreted versions"
517,CAT_002,TERM_034|TERM_042|TERM_064|TERM_011,"Primary subject is the chain of narration of the Mahabharata"
579,CAT_009,TERM_034|TERM_078|TERM_037|TERM_062,"Primary subject is Draupadi's birth and her various names"
580,CAT_009,TERM_034|TERM_037|TERM_058,"Primary subject is the people of Hastinapura wanting Yudhishtira as king"
581,CAT_009,TERM_034|TERM_076|TERM_009,"Primary subject is Duryodhana's jealousy and plots to kill Bheema"
582,CAT_009,TERM_034|TERM_056|TERM_037|TERM_009,"Primary subject is Duryodhana's plan to send Pandavas to Varanavata"
583,CAT_006,TERM_020|TERM_062|TERM_071|TERM_027,"Primary subject is the Yatra festival of bringing deities out for darshana"
584,CAT_009,TERM_034|TERM_037|TERM_076,"Primary subject is Vidura warning Yudhishtira in coded language about the plot"
585,CAT_009,TERM_034|TERM_037|TERM_056|TERM_009,"Primary subject is the lakshagriha fire and the Pandavas' escape"
586,CAT_009,TERM_034|TERM_051|TERM_076|TERM_043,"Primary subject is Bheema's encounter with Hidimbaa after the wax palace escape"
587,CAT_009,TERM_034|TERM_051|TERM_043|TERM_076,"Primary subject is the birth of Ghatotkacha to Bheema and Hidimbaa"
588,CAT_009,TERM_034|TERM_037|TERM_056|TERM_058,"Primary subject is Pandavas sheltering at Ekachakranagara and a king's duty"
589,CAT_009,TERM_034|TERM_037|TERM_076,"Primary subject is Vyasa's tree analogy for the Kauravas"
590,CAT_009,TERM_034|TERM_076|TERM_027,"Primary subject is Vyasa's tree analogy for the Pandavas"
591,CAT_009,TERM_034|TERM_051|TERM_078|TERM_062,"Primary subject is the human sacrifice demanded by Bakasura"
592,CAT_009,TERM_034|TERM_051|TERM_076|TERM_009,"Primary subject is Bheema being sent to and killing Bakasura"
593,CAT_010,TERM_034|TERM_056|TERM_077|TERM_076,"Primary subject is Panchalanagara as the city hosting Draupadi's swayamvara"
594,CAT_009,TERM_034|TERM_027|TERM_076,"Primary subject is Kunti's kinship to Krishna and his support of the Pandavas"
595,CAT_009,TERM_034|TERM_078|TERM_043|TERM_051,"Primary subject is Kunti's accidental instruction leading to Draupadi's marriage"
596,CAT_009,TERM_034|TERM_078|TERM_043|TERM_027,"Primary subject is the boon of Shiva explaining Draupadi's five husbands"
597,CAT_009,TERM_034|TERM_043|TERM_076|TERM_037,"Primary subject is Drupada discovering the Brahmins are Kshatriyas"
598,CAT_009,TERM_034|TERM_076|TERM_058,"Primary subject is the Pandavas revealing their identity after gaining Panchala's support"
618,CAT_009,TERM_034|TERM_051|TERM_027|TERM_062,"Primary subject is Krishna killing Shishupala at the Rajasuya yagna"
619,CAT_009,TERM_034|TERM_037|TERM_076|TERM_058,"Primary subject is Vidura sent to invite Yudhishtira to the dice game"
620,CAT_009,TERM_034|TERM_051|TERM_070|TERM_018,"Primary subject is Shakuni playing the dice game on Duryodhana's behalf"
621,CAT_009,TERM_034|TERM_078|TERM_051|TERM_076,"Primary subject is Dushashana dragging Draupadi to the sabha"
622,CAT_009,TERM_034|TERM_076|TERM_078|TERM_051,"Primary subject is Karna as the fourth villain of the Dushta-chatushtaya"
623,CAT_009,TERM_034|TERM_078|TERM_076|TERM_040,"Primary subject is Bhishma's failure to answer Draupadi's question in the sabha"
624,CAT_009,TERM_034|TERM_076|TERM_078|TERM_009,"Primary subject is Vikarna opposing Draupadi's humiliation in the sabha"
625,CAT_009,TERM_034|TERM_078|TERM_043|TERM_051,"Primary subject is the meaning of Draupadi being called nathavati anathavat"
626,CAT_009,TERM_034|TERM_076|TERM_078|TERM_051,"Primary subject is Bheema protesting Draupadi's humiliation in the sabha"
627,CAT_001,TERM_034|TERM_027|TERM_010|TERM_078,"Primary subject is Krishna saving Draupadi and the theology of bhakti and divine grace"
628,CAT_009,TERM_034|TERM_037|TERM_078|TERM_009,"Primary subject is Draupadi's boons freeing the Pandavas from slavery"
629,CAT_009,TERM_034|TERM_009|TERM_070|TERM_076,"Primary subject is the gambling rematch leading to exile and agyatvaas"
630,CAT_009,TERM_034|TERM_078|TERM_037|TERM_009,"Primary subject is Kunti staying with Vidura during the Pandavas' exile"
599,CAT_009,TERM_034|TERM_037|TERM_056|TERM_009,"Primary subject is Dhritarashtra sending Pandavas to Khandavaprastha"
600,CAT_010,TERM_034|TERM_056|TERM_004|TERM_037,"Primary subject is the founding and naming of Indraprastha"
601,CAT_010,TERM_034|TERM_056|TERM_027,"Primary subject is Amaravati, the capital of Indra's kingdom"
602,CAT_011,TERM_002|TERM_027|TERM_062,"Primary subject is the sacred cow Kamadhenu and the uses of cow products"
603,CAT_009,TERM_034|TERM_076|TERM_074|TERM_062,"Primary subject is Arjuna's teertha yatra as repentance for breaking the agreement"
604,CAT_010,TERM_074|TERM_038|TERM_056|TERM_062,"Primary subject is the meaning and effect of teertha yatra and the kshetras visited"
605,CAT_009,TERM_034|TERM_078|TERM_043|TERM_051,"Primary subject is Uloopi the Naga princess whom Arjuna married"
606,CAT_009,TERM_034|TERM_078|TERM_043|TERM_056,"Primary subject is the Manipur princess and her son Babruvahana"
607,CAT_009,TERM_034|TERM_078|TERM_043|TERM_027,"Primary subject is Subhadra, Krishna's sister, and her son Abhimanyu"
608,CAT_009,TERM_034|TERM_062|TERM_058|TERM_037,"Primary subject is the Rajasuya Yagna performed by Yudhishtira for unification"
609,CAT_009,TERM_034|TERM_037|TERM_056|TERM_009,"Primary subject is Jarasandha, his capital, and his enmity with Krishna"
610,CAT_009,TERM_034|TERM_076|TERM_009|TERM_051,"Primary subject is the disguise used to reach and kill Jarasandha"
611,CAT_009,TERM_034|TERM_062|TERM_058|TERM_037,"Primary subject is the responsibilities assigned during the Rajasuya Yagna"
612,CAT_009,TERM_034|TERM_062|TERM_076|TERM_027,"Primary subject is Bhishma proposing Krishna for the Agra Pooja"
613,CAT_007,TERM_034|TERM_004|TERM_051|TERM_005,"Primary subject is Mayasura building the Mayasabha palace of illusions"
614,CAT_009,TERM_034|TERM_027|TERM_062|TERM_051,"Primary subject is Krishna killing Shishupala during the Rajasuya Yagna"
615,CAT_009,TERM_034|TERM_009|TERM_037|TERM_056,"Primary subject is King Salva's aerial attack on Dwarka"
616,CAT_009,TERM_034|TERM_027|TERM_070|TERM_076,"Primary subject is Krishna advising Yudhishtira against the dice invitation"
617,CAT_009,TERM_034|TERM_051|TERM_070|TERM_076,"Primary subject is Shakuni advising Duryodhana to invite Pandavas to dice"
631,CAT_009,TERM_034|TERM_037|TERM_076|TERM_040,"Primary subject is Vidura advising Dhritarashtra to return the kingdom"
632,CAT_009,TERM_034|TERM_076|TERM_056|TERM_009,"Primary subject is Vidura visiting the forest to console the Pandavas"
633,CAT_009,TERM_034|TERM_037|TERM_076|TERM_056,"Primary subject is Sanjaya bringing Vidura back from the forest"
634,CAT_009,TERM_034|TERM_077|TERM_048|TERM_027,"Primary subject is Arjuna being sent to obtain divine weapons at Gandhamadana"
635,CAT_009,TERM_034|TERM_027|TERM_077|TERM_051,"Primary subject is Shiva as the hunter granting Arjuna the Pasupatastra"
636,CAT_009,TERM_034|TERM_074|TERM_064|TERM_042,"Primary subject is how the Pandavas spent their exile visiting tirthas and hearing stories"
637,CAT_009,TERM_034|TERM_076|TERM_009|TERM_002,"Primary subject is the Gosha Yatra pretext for Duryodhana's show-off"
638,CAT_009,TERM_034|TERM_051|TERM_009|TERM_002,"Primary subject is the Gandharvas capturing the Kauravas near the cowherd village"
639,CAT_009,TERM_034|TERM_076|TERM_009,"Primary subject is Karna fleeing the Gandharvas"
640,CAT_009,TERM_034|TERM_076|TERM_051|TERM_040,"Primary subject is Yudhishtira ordering rescue of the captured Kauravas"
641,CAT_009,TERM_034|TERM_051|TERM_025|TERM_027,"Primary subject is Bheema's quest for the Sougandhika flower and meeting Hanuman"
642,CAT_009,TERM_034|TERM_051|TERM_027|TERM_036,"Primary subject is the Yaksha (Dharma) killing and reviving the Pandavas"
643,CAT_009,TERM_034|TERM_051|TERM_027,"Primary subject is the Yaksha as a divine being questioning the Pandavas"
644,CAT_013,TERM_036|TERM_078|TERM_055,"Primary subject is the Yaksha riddle on mother being mightier than earth"
645,CAT_003,TERM_036|TERM_055|TERM_014,"Primary subject is the Yaksha riddle on the mind being faster than wind"
646,CAT_013,TERM_036|TERM_055|TERM_066,"Primary subject is the Yaksha riddle on father being taller than the sky"
647,CAT_003,TERM_036|TERM_055|TERM_014,"Primary subject is the Yaksha riddle on worries being most numerous"
648,CAT_003,TERM_036|TERM_055|TERM_014,"Primary subject is the Yaksha riddle on wisdom being the greatest wealth"
649,CAT_003,TERM_036|TERM_055|TERM_014,"Primary subject is the Yaksha riddle on contentment being the best comfort"
650,CAT_009,TERM_034|TERM_076|TERM_078|TERM_040,"Primary subject is Yudhishtira choosing Nakula to be revived for fairness to Madri"
651,CAT_009,TERM_034|TERM_076|TERM_009,"Primary subject is Yudhishtira's second boon enabling the agyatvasa"
652,CAT_009,TERM_034|TERM_037|TERM_056|TERM_058,"Primary subject is the Pandavas going to the Dharmic Matsya kingdom of Virata"
653,CAT_009,TERM_034|TERM_076|TERM_070|TERM_037,"Primary subject is Yudhishtira's role teaching board games to King Virata"
