snippet_key,category_id,tag_ids,notes
680,CAT_002,TERM_034|TERM_027|TERM_055,"Mahabharata — why Arjuna's refusal to fight was in error per the Gita"
681,CAT_002,TERM_034|TERM_011|TERM_055,"Mahabharata — the 700 verses of the Gita as a manual for living"
682,CAT_001,TERM_027|TERM_034|TERM_031,"Krishna's Vishwaroopa as the wrathful cosmic form of God — theology of the divine form and avatara"
683,CAT_002,TERM_034|TERM_076|TERM_051,"Mahabharata — Karna refusing to fight under Bhishma after the ardha-ratha insult"
684,CAT_009,TERM_058|TERM_034|TERM_009,"Upaya chatushtaya (sama, dama, danda, bheda) as statecraft applied by Krishna — polity"
685,CAT_002,TERM_034|TERM_051|TERM_076,"Mahabharata — Yuyutsu, the only Kaurava to switch sides to the Pandavas"
686,CAT_002,TERM_034|TERM_051|TERM_078,"Mahabharata — Shikhandin, rebirth of Amba, instrumental in Bhishma's fall"
687,CAT_002,TERM_034|TERM_063|TERM_056,"Mahabharata — Bhishma's bed of arrows and the Shara-shayyaa origin of Sirsa town"
688,CAT_002,TERM_034|TERM_051|TERM_076,"Mahabharata — Abhimanyu entering Drona's chakravyuh"
689,CAT_002,TERM_034|TERM_051|TERM_009,"Mahabharata — Arjuna's vow to kill Jayadratha for Abhimanyu's death"
690,CAT_002,TERM_034|TERM_051|TERM_043,"Mahabharata — Samba, son of Krishna married to Duryodhana's daughter"
691,CAT_002,TERM_034|TERM_051|TERM_027,"Mahabharata — the deception around Drona's killing via the Ashwatthama ruse"
692,CAT_002,TERM_034|TERM_051|TERM_077,"Mahabharata — Ghatotkacha forcing Karna to expend his divine weapon"
693,CAT_002,TERM_034|TERM_051|TERM_037,"Mahabharata — Shalya as Karna's charioteer on the 17th day"
694,CAT_002,TERM_034|TERM_051|TERM_063,"Mahabharata — origin of Karna's name Vasusena from his adoptive father Adhiratha"
719,CAT_002,TERM_034|TERM_051|TERM_037,"Mahabharata — Shalya's kinship as Madri's brother and uncle of the Pandavas"
720,CAT_002,TERM_034|TERM_051|TERM_009,"Mahabharata — Shalya lured by Duryodhana, then agreeing to demoralize Karna"
721,CAT_002,TERM_034|TERM_051|TERM_058,"Mahabharata — Sanjaya sent as Kaurava peace envoy with Divya Drishti"
722,CAT_002,TERM_034|TERM_051|TERM_058,"Mahabharata — Pandavas seeking peace and asking for five villages"
723,CAT_002,TERM_034|TERM_078|TERM_051,"Mahabharata — Draupadi's anger at the compromise, showing her unbound hair"
724,CAT_002,TERM_034|TERM_051|TERM_077,"Mahabharata — Krishna carrying weapons and staying at Vidura's house for peace talks"
725,CAT_002,TERM_034|TERM_051|TERM_058,"Mahabharata — Duryodhana's final refusal to cede any land"
726,CAT_002,TERM_034|TERM_027|TERM_051,"Mahabharata — Krishna's lion-and-forest metaphor for Pandavas and Kauravas"
727,CAT_002,TERM_034|TERM_027|TERM_051,"Mahabharata — Krishna's offer to Karna to switch sides"
728,CAT_002,TERM_034|TERM_051|TERM_077,"Mahabharata — Karna surrendering his kavacha-kundala to Indra for the Shaktyaayudha"
729,CAT_002,TERM_034|TERM_076|TERM_051,"Mahabharata — question on the commander of the Pandava army (Dhrishtadyumna)"
730,CAT_002,TERM_034|TERM_051|TERM_008,"Mahabharata — Bhishma's boon of chosen death and his vow as reasons for command"
731,CAT_002,TERM_034|TERM_051|TERM_064,"Mahabharata — Vyasa offering Divya Drishti to Dhritarashtra, given to Sanjaya"
663,CAT_002,TERM_034|TERM_051|TERM_009,"Mahabharata — Kauravas judging Virata weak after Kichaka's death"
664,CAT_002,TERM_034|TERM_051|TERM_009,"Mahabharata — Susharma of Trigarta attacking Matsya and Bheema's rescue of the cows"
665,CAT_002,TERM_034|TERM_051|TERM_078,"Mahabharata — Draupadi suggesting Brihannala (Arjuna) as Uttarakumara's charioteer"
666,CAT_002,TERM_034|TERM_051|TERM_078,"Mahabharata — Uttara-kumaari asking for soldiers' garments for her dolls"
667,CAT_002,TERM_034|TERM_077|TERM_051,"Mahabharata — Arjuna retrieving the Gandiva from the Shami tree and revealing himself"
668,CAT_002,TERM_034|TERM_077|TERM_051,"Mahabharata — Drona recognizing Arjuna from the sound of the Gandiva"
669,CAT_002,TERM_034|TERM_076|TERM_051,"Mahabharata — the six Maharathis on the Kaurava side"
670,CAT_002,TERM_034|TERM_051|TERM_070,"Mahabharata — Virata wounding Yudishtira's nose over a game of dice"
671,CAT_002,TERM_034|TERM_051|TERM_043,"Mahabharata — Virata offering Uttara-kumaari's marriage, leading to Abhimanyu's match"
672,CAT_002,TERM_034|TERM_051|TERM_076,"Mahabharata — the five Upapandavas, sons of the Pandavas and Draupadi"
673,CAT_002,TERM_034|TERM_058|TERM_051,"Mahabharata — Drupada nominated to open peace negotiations with the Kauravas"
674,CAT_009,TERM_058|TERM_034|TERM_009,"Upaya Chatushtaya defined — sama, dhana, bheda, dhanda as statecraft"
675,CAT_002,TERM_034|TERM_027|TERM_051,"Mahabharata — Krishna offering Arjuna first choice of himself or the army"
676,CAT_002,TERM_034|TERM_051|TERM_043,"Mahabharata — Duryodhana's kinship to Krishna via Samba's marriage"
