snippet_key,category_id,tag_ids,notes
532,CAT_002,TERM_034|TERM_051|TERM_037|TERM_009,"Primary subject is the succession of Chitrangada as king after Shantanu"
533,CAT_002,TERM_034|TERM_051|TERM_043|TERM_078,"Primary subject is the marriage of Ambika and Ambalika to Vichitravirya"
534,CAT_002,TERM_034|TERM_051|TERM_043|TERM_076,"Primary subject is the marriages Bhishma arranged in the Mahabharata"
548,CAT_002,TERM_034|TERM_073|TERM_027|TERM_042,"Primary subject is the opening sloka of the Mahabharata comparing Vyasa to the Trimurti"
549,CAT_002,TERM_034|TERM_042|TERM_036|TERM_073,"Primary subject is the sloka comparing the Mahabharata to a lamp of Itihasa"
550,CAT_002,TERM_034|TERM_042|TERM_027|TERM_073,"Primary subject is the sloka calling Ramayana and Mahabharata ornaments of Saraswati"
551,CAT_002,TERM_034|TERM_051|TERM_002|TERM_062,"Primary subject is the Mahabharata principle on non-harm to creatures broken by Pandu's hunting"
552,CAT_002,TERM_034|TERM_051|TERM_064|TERM_078,"Primary subject is the boon Sage Durvasa gave the young Kunti"
553,CAT_002,TERM_034|TERM_051|TERM_027|TERM_078,"Primary subject is the birth of Karna, the first son of Kunti"
554,CAT_002,TERM_034|TERM_051|TERM_039|TERM_076,"Primary subject is the meaning of Yudhishtira's name as stable in battle"
555,CAT_002,TERM_034|TERM_051|TERM_046|TERM_078,"Primary subject is Madri, Pandu's second wife, and the birth of the twins"
556,CAT_002,TERM_034|TERM_051|TERM_043|TERM_078,"Primary subject is who adopted Kunti and the name of her brother in the Mahabharata"
557,CAT_002,TERM_034|TERM_051|TERM_037|TERM_043,"Primary subject is the first son of Gandhari and Dhritarashtra"
558,CAT_002,TERM_034|TERM_051|TERM_064|TERM_078,"Primary subject is how Gandhari's fetus split to produce the hundred Kauravas"
559,CAT_002,TERM_034|TERM_051|TERM_018|TERM_076,"Primary subject is the alternate name of the Kauravas in the Mahabharata"
560,CAT_002,TERM_034|TERM_051|TERM_064|TERM_037,"Primary subject is Drupada's promise of half his kingdom to his friend Drona"
561,CAT_002,TERM_034|TERM_051|TERM_043|TERM_064,"Primary subject is Dronacharya's marriage to Kripi, sister of Kripacharya"
562,CAT_002,TERM_034|TERM_051|TERM_064|TERM_019,"Primary subject is the betrayal that triggered Drona becoming Guru of the princes"
563,CAT_013,TERM_070|TERM_034|TERM_051|TERM_030,"Primary subject is the ancient Indian game gilli-danda played by the Kuru princes"
564,CAT_002,TERM_034|TERM_051|TERM_070|TERM_064,"Primary subject is the well incident during the Kuru princes' game of gilli-danda"
565,CAT_002,TERM_034|TERM_051|TERM_064|TERM_077,"Primary subject is Drona retrieving the stick with blades of grass to demonstrate skill"
566,CAT_002,TERM_034|TERM_028|TERM_039|TERM_076,"Primary subject is the etymology of the word kshatriya from the root kshata"
567,CAT_002,TERM_034|TERM_051|TERM_064|TERM_019,"Primary subject is Drona instructing the princes to approach Bhishma to become their Guru"
