snippet_key,hook,explanation
421,"Ayuthya, a capital named after Ayodhya, was sacked by Burmese in the 18th century. The victors learnt Ramayana from the prisoners. Where is Ayuthya today?","The kingdom of Burma (now Myanmar) sacked the Thai capital Ayuthya in 1767 CE. The Thai prisoners of war were taken to Burma where they enacted the Ramayana. The Burmese were captivated and by 1800 CE, the Burmese version of Ramayana ‘Rama Yagan’, also called Yamayana, was composed. It is considered a milestone in Burmese literature. A Burmese version of Ram Lila called ‘Yama-pwe’ emerged which tells the story of Yama (Rama) and Thida (Sita). The performers wear elaborate masks which are also worshipped. Sita’s abduction is the most performed scene. The magical deer that distracts Rama to enable the abduction is Ravana’s sister Gambi (Surpanakha), who then is hurt when Rama shoots at the deer. Source: Kamil Bulke - Many Ramayanas - Ramakatha. Picture Credit: Ramanujam SR"
422,One of our colonisers first translated Ramayana into a European language. Which one?,"The Portuguese missionary J Fenichio wrote a book ‘Libro da Saita’ in 1609. He wrote about the ten avataras of Vishnu and the story of Rama. He largely follows Valmiki. The existing manuscript covers the account from Dashratha’s yajna to Sita’s agnipariksha. Some pages are lost so we don’t know if wrote more. He composed it in the South India and his account of Sita’s and Hanuman’s birth reflect Southern versions. In the 17th and 18th centuries, the story of Rama was mentioned in many Dutch, French & Spanish works. The story of Rama first appeared in English when Abbe Dubois’ French book was translated into English in the early part of the 19th cent CE. Source: Kamil Bulke - Many Ramayanas - Ramakatha."
423,Hobutsushu is a Japanese version of Ramayana dated to the 12th Century CE. Hanuman is an incarnation of?,"Hobutsushu is a collection of stories one of which resembles an abridged version of Ramayana. It is believed to have come through the Chinese version of Ramayana, the Tripitaka, and therefore carries Buddhist influence. According to the text, a group of monkeys supported Rama in his search for Sita. Brahma Sakka (or Indra, the ruler of heavens) was impressed by the sacrifice of Rama sincerity of the monkeys. He transformed himself into a small monkey and guided the army to victory. Source: Minoru Hara, Textual theme of Ramayana in Japan Picture Credit: Wikimedia Commons, A Hobutsushu book"
424,Ramayana’s journey eastward is well known. It also flowed west. In which language is the 9th century Khotani Ramayana written?,"In about the end of the ninth century we even find an East Iranian version of the Ramayana in Khotanese, an Iranian dialect prevalent in Khotan in Central Asia. The Khotani Ramayana is influenced by the slightly older Tibetan version. The key difference is that in the Khotani Ramayana, Rama is not Vishnu’s avatar but a Bodhisatva. The text starts with a preface in which the Buddha preaches his philosophy and it is made known that Buddha was Rama in a previous life while Maitreya (future Buddha) was Lakshmana. Khotani is termed an East Iranian language and is different from Persian. Kingdom of Khotani is now part of Xinjiang. Source: Lokesh Chandra, Ramayana - The Epic of Asia Kamil Bulke - Many Ramayanas - Ramakatha. Picture Credit: Aurel Stein, Wikimedia Commons. Cave where the Tibetan version of Ramayana was found. Khotani Ramayana is based on Tibetan version."
518,Who was the scribe for Mahabharata?,"A scribe is someone who used to write down documents. This job was relevant when printing was not invented and any book had to be manually written down. Ganesha was the scribe for Mahabharata as per popular stories. However, in the original Mahabharata this is not the case."
519,The material Ganesha used to write the Mahabharata is,"Ganesha broke his own tusk to write down the Mahabharata. This is the reason he appears with a broken tusk. This is one of the many stories related to the broken tusk of Ganesha. There are also stories that when moon laughed at Ganesha (because Ganesha fell off Mooshika), Ganasha got upset at the moon. He broke his tusk and threw it at the moon because of which the moon also got blemishes."
520,What are Koota slokas in Mahabharata?,"Ganesha told Vyasa that he would write the Mahabharata down continuously and Vyasa should not pause and make Ganesha wait. Vyasa in return said “you can only write down what you understand.” Sometimes Vyasa had to stop and think. To make sure that he gets the time, he used to dictate difficult slokas which would take time for Ganesha to understand. Thus Vyasa got some time to think. These slokas are called Koota slokas. There are about 8000 Koota slokas in Mahabharata."
521,Where is Vyasa Guha located?,"Vyasa Guha is near Badrinath, which is one of the Char Dhams. This is slightly upstream of Badrinath temple. It is located in front of the Saraswati river. The original Saraswati flowed from Himalayas to Arabian Sea. When Vyasa was performing Tapas, the river was making a lot of noise. Vyasa requested Saraswati to be quiet. Even now, you can see that the river is very silent in front of Vyasa Guha. The river Saraswati also joins the river Alaknanda nearby at a place called Keshava Prayaga. The river Alakananda flows through Himalayas and joins the river Bhagirathi at Dev Prayag. Thereafter it is called Ganga."
522,What was the Arabian sea in ancient times?,
523,What was the bay of bengal known in ancient times?,
524,At which teerth kshetra did river Saraswathi join the sea in ancient times?,
525,"What was the special quality Santanu had, which was reflected in his name?",Pratipa was the King of Hastinapura. The river Ganga wanted to marry Pratipa. He did not agree but he told Ganga that she can marry his son who would be born later. Shantanu was born to Pratipa. He had the capacity to heal anyone with just his touch.
526,Pratipa was the King of Hastinapura. Later on Pandu also became King of Hastinapura. What was the relationship between Pandu and Pratipa?,"Though Pandu became King of Hastinapura because of his lineage, he was not a blood relation of Pratipa. Shantanu was born to Pratipa and got married to Satyavathi. Their sons Chitrangada and Vichitravirya died without children. So Satyavathi’s son from an earlier marriage, Vyasa had children with Vichitravirya’s wives Ambika and Ambalika. Pandu was born to Ambalika. Thus, Pandu has no direct blood relation with Pratipa."
527,How are Parashara and Dhritarashtra biologically related?,"When Vichitravirya dies, the kingdom of Hastinapura is left without any son who can become a king. His mother Satyavathi is worried. Satyavathi mentions to Bhishma that she already had a son before she married Shantanu. His name was Krishna Dvaipayana (Vyasa), who was born to Satyavathi and Parashar. She called Krishna Dvaipayana and requested him to have children with Vichitravirya’s wives. When Ambika meets Krishna Dvaipayana she closes her eyes to avoid the radiance of Vyasa. A child was born to them but it was blind since Ambika had closed her eyes. The child is Dhritarashtra. Thus Dhritarashtra is the son of Vyasa who is the son of Parashara, thus becoming the grandson of Parashara."
528,What was Bhishma's original name?,"Ganga had taken a promise from Shantanu that he will not question anything she does. Ganga would pick up her child as soon as it was born, she would throw it in the river Ganga. This was very painful for Shantanu to bear. But he could not stop his wife. This happened seven times. When the eighth child was born, he stopped Ganga and questioned her. Ganga said since you have broken the promise, I will leave you. In some stories the child is with Shantanu. Deva. In another version of the story, Ganga took the eighth child with her. Afte many years, Shantanu goes near the river Ganga but notices that the river has slowed down. He finds a small boy who had slowed down the river with his arrows. Then Ganga also appears and gives the boy to Shantanu. The boy is Devavratha who came to be called Bhishma later."
529,What was Dasarajas' condition for Satyavathi to marry Shantanu?,"Shantanu comes across another woman near the river Yamuna. Her name was Satyavathi. He falls in love with Satyavathi but realizes that since he is the father of a grown up son, this is not possible. He returns sadly to the palace. Shantanu’s Son Devaratha noticed the sadness and asked his father what was wrong. Shantanu told him that he is concerned that if Devaratha gets hurt and dies he will be left without a son. An elder tells Devaratha about his father’s love for Satyavathi. Devaratha goes to Dasha Raja, Satyavathi’s father. Dasha Raja puts a condition that the children of Satyavathi should become the king after Shantanu."
530,When did Devavratha get the name of Bhishma?,"Dasaraja puts a condition that that the children of Satyavathi should become the king after Shantanu. Devavratha agrees that neither himself nor his children will stake a claim for the throne. Thus, the children of Satyavathi and Shantanu can become Kings. Dasha Raja is not convinced that Devavratha’s children will keep the promise. Therefore Devavratha takes a vow that he won’t get married so that there is no chance of his children staking a claim to the throne. Because of the sacrifice that Devavratha made for his father, he is called Bhishma."
531,"Bhishma, Chitrangada and Vichitravirya are related. How?",They are half brothers. Both Chitrangada and Vichitravirya were born to Shantanu and Satyavathi. Bhishma is born to Shantanu and Ganga. Thus they are half-brothers.
532,Who became the king after Santhanu?,"After Shantanu dies, Chitrangada becomes a king. He went to the forest for hunting. He came across the king of Gandharvas whose name was also Chitrangada. The king fought with Gandharva saying there can only be one person with the name Chitrangada. The King is defeated and dies. Later on Vichitravirya also dies without children. Thus, Bhishma, Chitrangada and Vichitravirya all do not have any children."
533,The sons of Ambika and Ambalika were,"Vichitravirya becomes a good king after his brother Chitrangada dies. But he does not find a wife. Bhishma goes to Varanasi since the King of Kashi was performing the swayamwara of his three daughters – Amba, Ambika and Ambalika. Bhishma took the daughters as captives and also defeated all other Kings. The oldest daughter Amba said she is already in love with another person and therefore Bhishma let her go. Ambika and Ambalika were married to Vichitravirya. Vichitravirya also dies before he has children."
534,Bhishma arranges several marriages. Which marriage does he NOT arrange,"Bhishma arranges the marriage of his father Shantanu. Later on, he also abducts Ambika and Ambalika for marriage to his half brother Vichitravirya. When Dhritarashtra had to be married it was difficult to find a girl since he was blind. Bhishma goes to Gandhara and gave a lot of money to the King to get his daughter married to Dhritarashtra. Gandhari and 11 sisters were married to Dhritarashtra. Along with them Sakuni also came. Gandhari blindfolded herself since her husband did not have eyesight. For Pandu, Bhishma gave a lot of money to the King Madra and got his daughter Madri married to Pandu. Because of the promise he gave to Dasaraja, whose daughter Bhishma’s father was in love with, Bhishma remains unmarried himself."
548,"In the shloka acaturvadano brahmā..., Vyasa is being compared to?","acaturvadano brahmā dvibāhuraparo harih| abhālalocana śambhur bhagavān bādarāyana || This is the first sloka of Mahabharata. This sloka means Vyasa is like Brahma but without four faces. It also means he is like Vishnu with two hands. It also means Vyasa is like Shiva but does not have the third eye. The last word in the Sloka, “Badarayanah,” is another name for Vyasa. Vyasa is like Brahma, the creator of the world since he created a large MahaKavya 5000 years ago. Vyasa is like Vishnu and sustains the world by educating us about good values. Like Shiva, Vyasa helps us dissolve the negative qualities that we have."
549,"In the sloka itihāsapradīpena..., Mahabharata is being compared to?","itihāsapradīpena mohāvaranaghātinā| lokagarbhagrham krtsnam yathāvat samprakāśitam|| The lamp of Itihaasa removes the ignorance that we have. The lamp brightens and shows us the essence of the whole world as it is. It shows us the reality as it is, nothing more or less. That is Mahabharata. Thus, the sloka compared Mahabharata to a lamp, that too to the primary lamp (Pradipa) that lights all other lamps."
550,Who wears Mahabharata and Ramayana as ornaments?,"niśrenyau brahmalokasya vāgdevyāh karnakundale | dharmadrumamahāmūle vālmīkivyāsayoh krtī|| In this Sloka, in the tree of Dharma, the roots are said to be the creations of Valmiki and Vyasa, i.e Ramayana and Mahabharata. These two Kavyas are the staircase to heaven. These two Kavyas are the ornaments of Devi Saraswati."
551,"“Sham no dvipade, sham chatushpade” - Which character broke this principle in Mahabharata?","Hunting is extremely painful to the environment and shouldn't be done for fun. Our culture preaches – Sham no dvipade, sham chatushpade let there be joy to the creatures walking on two legs, as well as four. Hunting was never supposed to be an act of pleasure in ancient Bharat. It was a practice, done by the Hunters for a living and the Kings to sharpen their war skills. There were specific rules to hunt, so that the natural setting of the animals is not disrupted, hunting was forbidden during the mating seasons. Hunting was only an occasional activity for the Kings and not a regular sport. King Pandu made such a mistake of hunting for fun, once."
552,Which sage had given Kunti a mantra when she was young?,"When Kunti was just 12 years old, she was blessed by Sage Durvasa as he was impressed by her hospitality. The sage, being far-sighted, gave her a boon, through which she could get a son from any god that she wished to invoke."
553,Who was the first Son of Kunti?,"Young Kunti received a boon from Durvasa that she could get a son from any god that she wished to invoke. Filled with curiosity, Kunti invoked the Sun God - Suryanarayana soon after receiving the boon. To her astonishment, the Sun god appeared and blessed her with a radiant baby, gifted with divine earrings and armour. Thus, Karna was born. Kunti feared that she would be unable to answer the society, for having a child. She put him in a golden basket with a lot of wealth and floated him off in a river. The charioteer of Bhishma- Adhiratha Sushain, found this child and brought him home. His wife mothered Karna with great affection. Her name was Radha, hence Karna was also called Radhey. Since he was sent with a lot of gold, Karna was called Vashusena."
554,Yudhishtira is a word made of Yudhi and Shtira. Shtira means stable. Stable in what?,"Yudhishtira Yudhi Sthirah - Yudhi Sthirah - युधि स्थिरः युधिष्ठिरः - Stable in battle Kunti prayed to Yamadharma, the guardian of Dharma for her first child. Yudhishtira was born, the one with great intellect, poise and balance. He would be very stable in war."
555,Who was the second wife of Pandu?,"Madri too wished to have children, Kunti transferred her boon to Madri, enabling her to invoke the blessings of a god. Madri invoked the Ashvini Kumaras and begot twins, Nakula and Sahadeva. They both were charming and possessed healing powers. They were very skillful in the field of medicine. Sahadeva could foretell the future as well. Soon, after this, Pandu passed away. Once, when he was in the company of Madri, he forgot his curse, and fell dead. Following this, Madri too gave up her life."
556,Who had adopted Kunti and what was the name of her brother?,
557,Who was the first son of Gandhari and Dhritarashtra?,
558,How many parts did the fetus of Gandhari break into?,"When Kunti gave birth to Yudhishtira, Gandhari was still pregnant. Realising that Kunti had already given birth to the eldest son of the family and as per tradition, he will inherit the throne, Gandhari grew impatient. She forcefully pulled out the fetus. At this disastrous site, Vyasa Maharishi arrived and saved the fetus by smearing the fetus with water. The fetus split into 100 pieces. He put each of the piece in a Kumbha containing ghee. After attaining maturity, the pots broke and from them emerged the 99 sons of Dhritarashtra, the eldest being Duryodhana along with one daughter."
559,The Kauravas are also known as?,
560,Drupada was Dronacharya’s childhood friend. What did he promise Drona?,"Sage Bharadvaja was a great teacher. Among his disciples were Drona and Drupada. Drona was his own son and Drupada was the crown prince of Panchala. Drona and Drupada were thick friends. Looking at the poverty of Drona, Drupada had promised half of his kingdom to his friend, when he became King in future. Both the friends got busy with life as they grew up."
561,Whom did Dronacharya marry?,"Dronacharya married Kripi, who is the sister of Kripacharya. Kripacharya was the first Guru of Kauravas and Pandavas."
562,Which incident was the trigger for Dronacharya becoming the Guru for Pandavas and Kauravas?,"Drona was extremely poor and had no money to even feed his son Ashvatthama properly. His son had never drank milk in his life, his friends would tease him saying he has never seen milk. Saddened by this, Drona mixed wheat flour and sugar in water and fed it to his son, saying that it is milk. Soon, young Ashvatthama realised this folly and felt cheated by his parents, Drona dejected by his terrible condition, approached his old and dear friend Drupada, and reminded him of the promise he had once made. Drupada, now a proud king, insulted and mocked the poverty of Drona and sent him away. Betrayed by his friend, Drona resolved to train capable kshatriyas, who would be better Kings than Drupada and would be able to defeat Drupada in battle. Eventually this would lead to Drona becoming the Guru of Kauravas and Pandavas. While the poverty of Drona made him approach Draupada, it was only the breaking of promise that made Drona take a vow."
563,"When Drona first met the Kuru princes, they were playing an ancient Indian game, that today’s kids still play?","Veeti-khelna in Sanskrit is colloquially known as gilli-danda. The colloquial name describes the game – use a big stick (danda) to hit a small stick (danda). While video games and modern sports like football & cricket hold the attention of kids today, gilli-danda is still played for fun. When you play gilli danda and people around you complain that it is not glamorous, remind them of the games rich heritage stretching back to the Mahabharata."
564,"While the Kuru princes played veeti-khelna, the small stick fell at a place from where the princes couldn’t get it back. Where did it fall?","As the Kuru princes played, the gilli fell inside a well. Unable to get the stick out, the princes stood around the well helplessly. Guru Drona, who was on his way to Hastinapur, noticed the princes in this helpless state."
565,What did Drona use to get the stick out of the well?,Drona too a blade of glass and threw it forcefully and accurately at the stick. The blade of grass stuck tightly to the stick. Then he threw another blade which stuck to the first blade. He kept on throwing blades which stick to the previous blade and created a rope. He then pulled the stick out easily. He berated the princes asking them what kind of kshatriyas were they if they could not do such a simple task.
566,What does the root ‘kshata’ in the word kshatriya mean?,Kshatriya is defined as kshata (wound)-trayate(protect) – someone who protects you from wounds. The modern Hindi word kshati (क्षति) which means ‘damage’ comes from the root kshata.
567,Drona instructed the Kuru princes to narrate the story of how he had got the stick out of the well to a senior member of the Kuru family. Who was this person?,"Drona wanted to take revenge on his friend Drupada. He was looking for suitable employment as Guru so that he could train a deserving student who would help him get revenge. That’s why, he was travelling to the Kuru capital Hastinapur. Much like, how young people migrate to large cities like Mumbai & Bengaluru from their hometowns in search of high paying work. He instructed the princes to approach Bhishma as he knew that as their grandfather he would indulge them and appoint him as their Guru. Drona knew human psychology – grandparents indulge grandkids more than the parents. This story demonstrates the first instance that shows that though Drona was a great teacher, he was also a selfish person. He wanted to be Guru of the Kuru princes since they were 105 of them and surely, one among so many could help him get revenge."
